Name,State,Year,Population.Size,CalfCowRatio,Sample.Size_Calf.Cow,Survey.Month_Calf.Cow,Females.Harvested_Harvest,PrePost,Eprecipb,Eprecipa,Totprecipb,Totprecipa,Ewinter,Wintertot,Wintera,Grizzly.Bear,Wolf,SummerNDVI,WinterNDVI,Ecotype
1,1,2003,492,18.5,458,February,100,post,73.4686,98.0973,136.4442,185.8665,76.6571,139.7116,139.7116,Occasional sighting,Populations well-established,12.07809172,2.510108092,B
1,1,2010,1703,25,757,February,159,post,154.1297,115.5686,223.6046,197.94073,121.506,175.2557,175.2557,Occasional sighting,Populations well-established,33.04487679,16.80687714,B
1,1,1996,1227,21,,February,122,post,122.4346,247.791,206.4271,365.5148,112.9108,189.459,189.459,Occasional sighting,Populations well-established,25.95942163,5.745164184,B
1,1,1997,722,23,,February,NA,post,122.5524,122.4346,281.7543,206.4271,66.6549,153.6081,153.6081,Occasional sighting,Populations well-established,33.43323716,13.26866268,B
1,1,1998,NA,NA,,February,117,post,200.2924,122.5524,293.0803,281.7543,112.2176,182.9954,182.9954,Occasional sighting,Populations well-established,38.28382199,22.88472393,B
1,1,1999,837,30,,February,111,post,143.2138,200.2924,209.34051,293.0803,72.1189,157.114,157.114,Occasional sighting,Populations well-established,33.9614347,17.01630132,B
1,1,2000,875,24,,February,178,post,88.4948,143.2138,169.7364,209.34051,55.7389,120.2641,120.2641,Occasional sighting,Populations well-established,22.67895688,6.886252425,B
1,1,1995,1120,26,,February,121,post,247.791,96.2667,365.5148,150.0305,91.1828,170.349,170.349,Occasional sighting,Populations well-established,32.67271739,11.51263195,B
1,1,2002,420,15.5,,February,104,post,98.0973,68.6989,185.8665,152.76728,59.5438,185.4708,185.4708,Occasional sighting,Populations well-established,8.425421615,-4.128091982,B
1,1,1993,913,40,,February,126,post,183.3278,120.099,348.31207,232.1303,69.1402,139.1394,139.1394,Occasional sighting,Populations well-established,45.38851807,24.94798709,B
1,1,2004,1010,18,427,February,96,post,158.157,73.4686,274.1275,136.4442,51.33,133.78243,133.78243,Occasional sighting,Populations well-established,6.016568986,5.737680879,B
1,1,2005,1137,15,656,February,44,post,198.5558,158.157,274.8677,274.1275,105.1092,199.104,199.104,Occasional sighting,Populations well-established,26.28158947,12.19199258,B
1,1,2006,NA,27,738,February,61,post,99.9816,198.5558,178.3672,274.8677,54.4676,147.5943,147.5943,Occasional sighting,Populations well-established,17.27338789,3.794490385,B
1,1,2007,1507,19,1251,February,143,post,74.8949,99.9816,170.6108,178.3672,130.423,166.5395,166.5395,Occasional sighting,Populations well-established,21.42100497,6.890355992,B
1,1,2008,1767,25,472,February,317,post,112.2295,74.8949,165.8535,170.6108,92.6911,182.4092,182.4092,Occasional sighting,Populations well-established,28.23855816,12.62491299,B
1,1,2009,896,14,347,February,219,post,115.5686,112.2295,197.94073,165.8535,54.803,115.2774,115.2774,Occasional sighting,Populations well-established,29.50812814,11.46464623,B
1,1,2001,NA,NA,,February,49,post,68.6989,88.4948,152.76728,169.7364,88.6235,134.3933,134.3933,Occasional sighting,Populations well-established,19.65014717,2.390560711,B
2,1,2003,459,23,139,February,184,post,71.3911,120.7869,133.8377,202.5095,85.3844,126.3387,126.3387,Occasional sighting,Populations well-established,-4.088006496,-3.00531889,B
2,1,1993,1082,44,,February,60,post,179.6975,132.3889,330.7958,225.5005,74.3444,146.7794,146.7794,Occasional sighting,Populations well-established,15.98321954,15.46471139,B
2,1,1996,778,25,,February,171,post,117.7636,214.5656,172.0053,328.28,102.8013,209.675,209.675,Occasional sighting,Populations well-established,1.436940824,1.684044173,B
2,1,1997,770,21,,February,NA,post,133.8739,117.7636,267.5058,172.0053,86.1512,168.9284,168.9284,Occasional sighting,Populations well-established,6.16592649,5.221872889,B
2,1,1998,869,29,,February,136,post,187.7269,133.8739,291.1133,267.5058,123.5089,181.0808,181.0808,Occasional sighting,Populations well-established,15.47748667,14.2825495,B
2,1,1999,985,29,,February,153,post,130.98,187.7269,187.54643,291.1133,98.9116,145.2403,145.2403,Occasional sighting,Populations well-established,11.0872096,9.77685981,B
2,1,2000,NA,NA,,February,279,post,90.8309,130.98,164.417,187.54643,57.2775,126.9004,126.9004,Occasional sighting,Populations well-established,-5.206073592,-5.086957897,B
2,1,2010,806,21,806,February,70,post,206.3402,139.918,298.9221,240.7771,117.117,173.2403,173.2403,Occasional sighting,Populations well-established,11.84205165,12.58637045,B
2,1,2002,913,23,,February,139,post,120.7869,90.2922,202.5095,171.00383,83.7775,199.7081,199.7081,Occasional sighting,Populations well-established,-11.43411176,-10.39416386,B
2,1,1995,NA,NA,,February,116,post,214.5656,104.8403,328.28,161.5667,111.4206,159.2819,159.2819,Occasional sighting,Populations well-established,6.756104641,6.545183456,B
2,1,2004,620,28,188,February,109,post,164.5247,71.3911,280.2474,133.8377,48.9902,107.062,107.062,Occasional sighting,Populations well-established,0.375700216,2.549330206,B
2,1,2005,650,18,464,February,91,post,197.6207,164.5247,281.1552,280.2474,134.0119,174.8567,174.8567,Occasional sighting,Populations well-established,4.621048387,5.456324053,B
2,1,2006,635,38,318,February,98,post,101.73,197.6207,196.9667,281.1552,87.8719,161.2103,161.2103,Occasional sighting,Populations well-established,-3.51870411,-2.062468451,B
2,1,2007,496,26,313,February,102,post,110.6183,101.73,203.2938,196.9667,119.0872,168.007,168.007,Occasional sighting,Populations well-established,0.090809357,0.257756484,B
2,1,2008,730,19,,February,103,post,116.9039,110.6183,181.8378,203.2938,112.3774,227.0466,227.0466,Occasional sighting,Populations well-established,3.429011617,4.757568212,B
2,1,2009,514,33,199,February,79,post,139.918,116.9039,240.7771,181.8378,62.6508,115.891,115.891,Occasional sighting,Populations well-established,6.000445165,7.02488643,B
2,1,2001,919,23,,February,132,post,90.2922,90.8309,171.00383,164.417,81.1469,142.5416,142.5416,Occasional sighting,Populations well-established,-6.815524128,-7.247318522,B
3,1,2004,685,27,685,February,196,post,142.2357,58.3506,247.5793,109.55088,63.2061,139.5704,139.5704,Occasional sighting,Populations well-established,28.95806667,8.223912421,B
3,1,1996,969,28,,February,261,post,105.2411,188.1498,134.57372,292.065,197.4964,304.0275,304.0275,Occasional sighting,Populations well-established,30.32180252,7.721836681,B
3,1,1997,879,20,,February,NA,post,137.128,105.2411,254.3034,134.57372,104.7413,191.0693,191.0693,Occasional sighting,Populations well-established,37.50469493,11.37191497,B
3,1,1998,1179,33,,February,252,post,164.3908,137.128,248.7685,254.3034,155.7941,223.1895,223.1895,Occasional sighting,Populations well-established,41.81200727,21.61811676,B
3,1,1999,1241,26,,February,288,post,118.6277,164.3908,167.51855,248.7685,130.0182,180.2864,180.2864,Occasional sighting,Populations well-established,36.02875547,17.04446015,B
3,1,2000,760,25,,February,472,post,83.9075,118.6277,145.35503,167.51855,61.5591,150.7627,150.7627,Occasional sighting,Populations well-established,26.14241543,3.249520651,B
3,1,2001,823,24,,February,166,post,87.326,83.9075,158.17627,145.35503,94.3163,176.0565,176.0565,Occasional sighting,Populations well-established,29.11305594,1.512313903,B
3,1,2003,466,25,,February,246,post,58.3506,108.5668,109.55088,187.6194,114.857,161.2381,161.2381,Occasional sighting,Populations well-established,25.53291922,5.554192996,B
3,1,1995,1373,26,,February,135,post,188.1498,90.2023,292.065,144.39587,189.7785,264.4,264.4,Occasional sighting,Populations well-established,33.30594383,11.62889319,B
3,1,2005,683,21,397,February,231,post,168.2966,142.2357,245.99567,247.5793,153.9129,197.7924,197.7924,Occasional sighting,Populations well-established,32.81328009,10.69764607,B
3,1,2007,613,13,613,February,164,post,105.4149,86.3539,186.9596,157.6128,116.5448,178.3509,178.3509,Occasional sighting,Populations well-established,26.92779144,7.167315412,B
3,1,2008,488,12,488,February,107,post,99.4735,105.4149,154.8517,186.9596,117.965,221.1383,221.1383,Occasional sighting,Populations well-established,36.54533494,12.05934488,B
3,1,2009,218,35,218,February,168,post,122.2719,99.4735,205.7443,154.8517,63.6714,119.3153,119.3153,Occasional sighting,Populations well-established,34.68896654,13.31525976,B
3,1,2010,952,24,692,February,113,post,181.498,122.2719,264.363,205.7443,123.943,202.0745,202.0745,Occasional sighting,Populations well-established,38.2346643,16.57373748,B
