No,Site,Year,Sex,Ageclass,P8,P9,Retrix
1,Chilkat,1999,Male,YOY,151,145,121
2,Chilkat,1999,Female,AD,144,137,116
3,Chilkat,1999,Male,AD,143,135,121
4,Chilkat,1999,Male,YOY,148,136,119
5,Chilkat,1999,Male,YOY,149,145,122
6,Chilkat,1999,Male,YOY,151,139,123
7,Chilkat,1999,Female,YOY,145,132,113
8,Chilkat,1999,Male,AD,160,152,124
9,Chilkat,1999,Male,AD,155,152,122
10,Chilkat,1999,Male,YOY,157,159,128
11,Chilkat,1999,Female,AD,149,144,127
12,Chilkat,1999,Female,AD,147,149,116
13,Chilkat,1999,Male,YOY,152,136,118
14,Chilkat,1999,Female,AD,140,153,114
15,Chilkat,1999,Male,YOY,157,147,134
16,Chilkat,1999,Male,AD,143,151,116
17,Chilkat,1999,Male,YOY,153,139,114
18,Chilkat,1999,Female,YOY,141,141,128
19,Chilkat,1999,Male,YOY,146,146,126
20,Chilkat,1999,Male,AD,149,146,119
21,Chilkat,1999,Male,YOY,148,141,122
22,Chilkat,1999,Male,YOY,159,154,131
23,Kluane,1999,Female,YOY,140,130,109
24,Kluane,1999,Male,YOY,153,144,120
25,Kluane,1999,Female,YOY,142,132,120
26,Kluane,1999,Female,YOY,148,144,118
27,Kluane,1999,Male,AD,151,131,123
28,Kluane,1999,Female,YOY,140,139,113
29,Kluane,1999,Female,YOY,138,130,108
30,Kluane,1999,Male,AD,153,147,130
31,Kluane,1999,Male,YOY,144,135,119
32,Kluane,1999,Male,YOY,150,141,121
33,Kluane,1999,Male,YOY,150,137,120
34,Kluane,1999,Female,YOY,142,138,112
35,Kluane,1999,Female,YOY,140,136,110
36,Kluane,1999,Male,AD,161,153,130
37,Kluane,1999,Female,YOY,144,132,112
38,Kluane,1999,Female,AD,151,142,111
39,Kluane,1999,Female,YOY,153,145,120
40,Kluane,1999,Female,AD,154,146,115
41,Kluane,1999,Female,YOY,142,133,111
42,Kluane,1999,Female,YOY,141,133,111
43,Kluane,1999,Female,YOY,145,136,106
44,Kluane,1999,Female,YOY,153,139,115
45,Kluane,1999,Male,AD,145,139,113
46,Kluane,1999,Female,YOY,141,136,109
47,Kluane,1999,Female,YOY,147,141,115
48,Kluane,1999,Female,YOY,148,141,115
49,Kluane,1999,Female,YOY,138,138,108
50,Kluane,1999,Male,YOY,145,139,117
51,Kluane,1999,Male,YOY,156,152,130
52,Kluane,1999,Female,YOY,150,143,115
53,Kluane,1999,Female,YOY,144,136,113
54,Kluane,1999,Male,YOY,152,140,121
55,Kluane,1999,Female,AD,138,145,112
56,Kluane,1999,Female,YOY,144,130,105
57,Kluane,1999,Female,YOY,147,139,104
58,Kluane,1999,Female,YOY,140,111,116
59,Kluane,1999,Male,YOY,150,140,120
60,Kluane,1999,Male,AD,166,155,130
61,Kluane,1999,Male,AD,146,141,108
62,Kluane,1999,Female,AD,152,146,126
63,Kluane,1999,Female,YOY,144,130,104
64,Kluane,1999,Male,AD,159,143,129
65,Kluane,1999,Male,YOY,154,144,119
66,Kluane,1999,Female,YOY,155,144,118
67,Kluane,1999,Female,YOY,146,141,114
68,Kluane,1999,Female,YOY,147,139,109
69,Kluane,1999,Male,YOY,161,148,120
70,Kluane,1999,Male,AD,150,131,123
71,Kluane,1999,Male,YOY,156,151,124
72,Kluane,1999,Female,YOY,148,138,115
73,Kluane,1999,Female,YOY,139,137,113
74,Kluane,1999,Female,YOY,146,136,110
75,Kluane,1999,Female,YOY,153,141,120
76,Kluane,1999,Female,YOY,150,141,116
77,Kluane,1999,Female,YOY,145,135,118
78,Kluane,1999,Male,YOY,155,145,115
79,Kluane,1999,Female,AD,145,138,118
80,Kluane,1999,Female,YOY,149,137,107
81,Kluane,1999,Male,AD,156,148,127
82,Kluane,1999,Female,YOY,141,135,109
83,Kluane,1999,Female,YOY,147,138,113
84,Kluane,1999,Male,YOY,158,140,124
85,Kluane,1999,Male,YOY,151,144,124
86,Kluane,1999,Female,AD,145,138,116
87,Kluane,1999,Female,YOY,153,139,119
88,Kluane,1999,Male,YOY,153,146,124
89,Kluane,1999,Female,YOY,146,130,117
90,Kluane,1999,Female,AD,145,136,113
91,Chilkat,1999,Female,AD,151,147,117
92,Chilkat,1999,Male,AD,155,141,118
93,Chilkat,1999,Female,AD,149,139,113
94,Chilkat,1999,Male,YOY,166,165,130
95,Chilkat,1999,Male,AD,149,146,119
96,Chilkat,1999,Male,AD,160,154,129
97,Chilkat,1999,Male,YOY,151,146,123
98,Chilkat,1999,Male,AD,149,139,125
99,Chilkat,1999,Male,YOY,152,144,123
100,Chilkat,1999,Male,AD,148,158,131
101,Chilkat,1999,Male,YOY,159,152,126
102,Chilkat,1999,Male,YOY,160,145,129
103,Chilkat,1999,Male,AD,151,146,133
104,Chilkat,1999,Male,AD,150,142,123
105,Chilkat,1999,Male,AD,151,151,129
106,Chilkat,1999,Female,AD,144,138,111
107,Chilkat,1999,Male,YOY,152,144,118
108,Chilkat,1999,Male,AD,159,148,129
109,Chilkat,1999,Male,AD,156,151,122
110,Chilkat,1999,Female,AD,148,142,118
111,Chilkat,1999,Male,AD,142,133,117
112,Chilkat,1999,Male,AD,161,151,123
113,Chilkat,1999,Male,AD,153,151,124
114,Chilkat,1999,Male,YOY,156,140,129
115,Chilkat,1999,Female,YOY,144,132,113
116,Chilkat,1999,Male,YOY,150,132,122
117,Chilkat,1999,Male,YOY,148,144,119
118,Chilkat,1999,Male,YOY,133,149,120
119,Chilkat,1999,Female,AD,144,137,114
120,Chilkat,1999,Male,YOY,151,145,119
121,Chilkat,1999,Male,YOY,147,134,119
122,Chilkat,1999,Male,YOY,161,154,128
123,Chilkat,1999,Male,AD,158,151,125
124,Chilkat,1999,Male,YOY,143,143,125
125,Chilkat,1999,Male,AD,151,146,129
126,Chilkat,1999,Male,YOY,148,145,131
127,Chilkat,1999,Male,AD,153,148,129
128,Chilkat,1999,Male,AD,151,146,122
129,Chilkat,1999,Male,YOY,142,129,116
130,Kluane,2000,Female,YOY,154,144,125
131,Kluane,2000,Male,YOY,150,148,132
132,Kluane,2000,Female,YOY,158,151,127
133,Kluane,2000,Male,YOY,158,156,126
134,Kluane,2000,Female,YOY,144,139,111
135,Kluane,2000,Male,YOY,156,147,128
136,Kluane,2000,Male,AD,156,152,127
137,Kluane,2000,Female,YOY,145,139,109
138,Kluane,2000,Female,AD,153,147,127
139,Kluane,2000,Male,YOY,155,145,124
140,Kluane,2000,Male,YOY,150,144,120
141,Kluane,2000,Female,YOY,147,136,115
142,Kluane,2000,Female,YOY,150,138,114
143,Kluane,2000,Male,YOY,164,150,126
144,Kluane,2000,Female,YOY,150,142,120
